"date","price"
2019-05-10,25.55
2019-05-13,25.55
2019-05-14,25.45
2019-05-15,25.45
2019-05-16,25.45
2019-05-17,25.45
2019-05-20,25.37
2019-05-21,25.1
2019-05-22,25.15
2019-05-23,25.15
2019-05-24,25.1
2019-05-27,25.07
2019-05-28,25.07
2019-05-29,25.05
2019-05-30,25.02
2019-05-31,24.85
2019-06-04,24.5
2019-06-05,24.5
2019-06-06,24.55
2019-06-07,24.2
2019-06-10,24.3
2019-06-11,24.3
2019-06-12,24.15
2019-06-13,24.7
2019-06-14,24.9
2019-06-17,24.15
2019-06-18,23.25
2019-06-19,23.2
2019-06-20,23.5
2019-06-21,23.62
2019-06-24,23.65
2019-06-25,23.5
2019-06-26,23
2019-06-27,23.9
2019-06-28,23.1
2019-07-01,23.15
2019-07-02,23.07
2019-07-03,23.07
2019-07-04,23.1
2019-07-05,23.05
2019-07-08,22.95
2019-07-09,22.87
2019-07-10,23
2019-07-11,23.1
2019-07-12,23.05
2019-07-15,22.9
2019-07-16,22.95
2019-07-17,23
2019-07-18,23.1
2019-07-19,23.22
2019-07-22,23.1
2019-07-23,23.1
2019-07-24,23.07
2019-07-25,23.1
2019-07-26,23.15
2019-07-29,23.3
2019-07-30,23.5
2019-07-31,23.6
2019-08-01,23.85
2019-08-02,23.72
2019-08-05,23.9
2019-08-06,23.7
2019-08-07,23.65
2019-08-08,23.7
2019-08-09,23.9
2019-08-13,24.35
2019-08-14,24.35
2019-08-16,24.3
2019-08-20,24.35
2019-08-21,24.3
2019-08-22,24.25
2019-08-23,24.4
2019-08-26,24.6
2019-08-27,24.6
2019-08-28,24.7
2019-08-29,24.62
2019-08-30,24.75
2019-09-03,24.88
2019-09-06,25.07
2019-09-09,25.05
2019-09-10,25
2019-09-11,24.9
2019-09-12,24.85
2019-09-13,24.82
2019-09-16,24.8
2019-09-17,24.75
2019-09-18,24.75
2019-09-20,25
2019-09-23,24.97
2019-09-24,24.95
2019-09-25,24.95
2019-09-26,24.85
2019-10-01,24.85
2019-10-02,24.87
2019-10-03,24.8
2019-10-07,24.8
2019-10-08,24.75
2019-10-10,24.75
2019-10-11,24.7
2019-10-14,24.75
2019-10-16,24.8
2019-10-23,24.87
2019-10-24,24.82
2019-10-25,24.95
2019-10-30,25
2019-11-01,24.97
2019-11-04,24.95
2019-11-07,24.97
2019-11-08,24.97
2019-11-11,24.95
2019-11-12,25
2019-11-13,24.95
2019-11-17,24.9
2019-11-18,24.92
2019-11-19,24.9
2019-11-20,24.92
2019-11-21,24.8
2019-11-26,24.75
2019-11-27,24.72
2019-11-29,24.65
2019-12-02,24.7
2019-12-03,24.72
2019-12-04,24.7
2019-12-05,24.67
2019-12-06,24.67
2019-12-09,24.65
2019-12-10,24.67
2019-12-11,24.75
2019-12-17,24.75
2020-01-06,28.5
2020-01-07,28.5
2020-01-08,28.85
2020-01-09,28.9
2020-01-10,28.9
2020-01-13,28.9
2020-01-14,28.93
2020-01-15,29
2020-01-16,29.08
2020-01-17,29.15
2020-01-21,29.2
2020-01-22,29.2
2020-01-23,29.15
2020-01-24,29.15
2020-01-28,29.15
2020-01-29,29.95
2020-01-30,28.75
2020-01-31,28.3
2020-02-03,27.55
2020-02-04,27.55
2020-02-05,27.7
2020-02-07,27.75
2020-02-10,27.8
2020-02-11,27.5
2020-02-12,27
2020-02-13,26.6
2020-02-14,26.55
2020-02-17,26.3
2020-02-18,26.31
2020-02-19,26.5
2020-02-21,26.7
2020-02-24,26.75
2020-02-25,26.4
2020-02-26,26.5
2020-02-28,26.3
2020-03-02,26.5
2020-03-03,26.2
2020-03-05,26
2020-03-09,26
2020-03-10,25.7
2020-03-11,25.25
2020-03-13,25.2
2020-03-16,25.2
2020-03-18,24.75
2020-03-19,24.5
2020-03-23,23.25
2020-03-24,22.7
2020-03-25,22.2
2020-03-26,22.5
2020-03-27,22.5
2020-03-30,22.7
2020-03-31,23.75
2020-04-01,24
2020-04-03,24.5
2020-04-06,24.25
2020-04-08,24
2020-04-09,24.05
2020-04-14,24
2020-04-15,24.25
2020-04-16,24.4
2020-04-20,24.5
2020-04-21,24.57
2020-04-22,24.5
2020-04-23,24.55
2020-04-24,24.52
2020-04-28,24.7
2020-04-29,24.5
2020-05-01,24.5
2020-05-04,24.57
2020-05-05,24.6
2020-05-08,24.6
2020-05-11,24.6
2020-05-12,24.67
2020-05-13,24.7
2020-05-14,24.75
2020-05-15,24.93
2020-05-18,25
2020-05-19,24.95
2020-05-21,25.02
2020-05-22,25.05
2020-05-25,25
2020-05-26,25.05
2020-05-27,25
2020-05-28,25.1
2020-05-29,25.05
2020-06-03,26
2020-06-04,28
2020-06-05,28.5
2020-06-08,29
2020-06-09,30
2020-06-10,30.75
2020-06-11,31.4
2020-06-12,32
2020-06-13,31.85
2020-06-14,31.4
2020-06-17,30.82
2020-06-18,30
2020-06-19,30.1
2020-06-22,31
2020-06-24,30
2020-06-25,31.4
2020-06-26,31.9
2020-06-29,31.8
2020-06-30,31.9
2020-07-01,32.1
2020-07-02,32.25
2020-07-07,32.25
2020-07-08,32.4
2020-07-09,33
2020-07-10,32.25
2020-07-13,32.2
2020-07-14,31.75
2020-07-15,31.85
2020-07-16,32.25
2020-07-17,32.5
2020-07-20,32.75
2020-07-21,33
2020-07-22,33.15
2020-07-23,33.55
2020-07-24,33.45
2020-07-27,33.1
2020-07-29,33.15
2020-07-30,33.6
2020-07-31,34.1
2020-08-04,34.05
2020-08-06,33.95
2020-08-07,33.92
2020-08-10,33.5
2020-08-11,33.4
2020-08-12,33.57
2020-08-13,33.6
2020-08-14,33.95
2020-08-18,33.9
2020-08-20,33.85
2020-08-21,33.8
2020-08-24,33.85
2020-08-25,33.88
2020-08-26,34.04
2020-08-27,34
2020-08-28,34.05
2020-08-31,34.1
2020-09-01,34.12
2020-09-02,34
2020-09-10,34.25
2020-09-14,34.4
2020-09-15,34.5
2020-09-16,35
2020-09-17,35
2020-09-18,34.05
2020-09-21,35.05
2020-09-22,35.07
2020-09-25,35.05
2020-09-28,35.05
2020-09-30,35.02
2020-10-01,35
2020-10-02,34.95
2020-10-05,34.85
2020-10-06,34.8
2020-10-07,34.7
2020-10-08,34.75
2020-10-09,34.8
2020-10-12,34.85
2020-10-13,35.02
2020-10-14,34.85
2020-10-16,34.95
2020-10-21,35.05
2020-10-23,35.15
2020-10-27,35.07
2020-10-28,35.05
2020-10-29,35.1
2020-10-30,35.12
2020-11-02,35.1
2020-11-04,35.12
2020-11-09,35.12
2020-11-11,35.2
2020-11-12,35.22
2020-11-16,35.3
2020-11-17,35.4
2020-11-18,35.5
2020-11-19,35.8
2020-11-23,35.75
2020-11-24,35.8
2020-11-26,35.75
2020-11-27,35.8
2020-11-30,35.8
2020-12-03,36
2020-12-04,36.25
2020-12-07,36.6
2020-12-08,37.2
2020-12-09,37.55
2020-12-10,38
2020-12-11,38.05
2020-12-14,38
2020-12-15,37.8
2020-12-16,37.6
2020-12-21,37.65
2020-12-22,37.65
2020-12-23,37.62
2020-12-24,37.6
2020-12-29,37.55
2021-01-05,37.62
2021-01-11,37.57
2021-01-14,38.2
2021-01-15,38.4
2021-01-18,38.45
2021-01-19,38.2
2021-01-21,38.4
2021-01-22,38.42
2021-01-26,38.4
2021-01-27,38.4
2021-01-28,38.5
2021-01-29,38.5
2021-02-03,39.6
2021-02-09,39.4
2021-02-11,39.1
2021-02-12,39.2
2021-02-15,39
2021-02-16,39.2
2021-02-23,39.3
2021-02-24,39.2
2021-02-26,39
2021-03-01,39.02
2021-03-02,39.05
2021-03-03,39.92
2021-03-04,39
2021-03-05,38.8
2021-03-08,38.9
2021-03-09,38.97
2021-03-10,38.9
2021-03-11,38.7
2021-03-12,38.75
2021-03-15,38.75
2021-03-16,38.5
2021-03-17,38.75
2021-03-18,37.25
2021-03-19,37.25
2021-03-22,37.2
2021-03-23,37.07
2021-03-24,36.95
2021-03-25,36.95
2021-03-26,37
2021-03-29,37.05
2021-03-30,37
2021-04-01,36.9
2021-04-06,37
2021-04-07,37.02
2021-04-08,36.95
2021-04-09,37
2021-04-12,37
2021-04-13,37.15
2021-04-14,37.25
2021-04-15,37.3
2021-04-16,37.3
2021-04-19,37.32
2021-04-20,37.31
2021-04-21,37.3
2021-04-22,37.3
2021-04-23,37.5
2021-04-27,37.6
2021-04-28,37.55
2021-04-29,37.45
2021-04-30,37.47
